ano,sigla_uf,id_municipio,grupo,quantidade_homicidio_doloso,quantidade_latrocinio,quantidade_lesao_corporal_morte,quantidade_mortes_policiais_confronto,quantidade_mortes_intervencao_policial,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_mortes_violentas_intencionais,quantidade_feminicidio,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_estupro,quantidade_roubo_veiculos,quantidade_furto_veiculos,quantidade_roubo_furto_veiculos,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais,quantidade_posse_ilegal_arma_de_fogo,quantidade_porte_ilegal_arma_de_fogo,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,quantidade_trafico_entorpecente,quantidade_posse_uso_entorpecente,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_morte_policiais_militares_fora_de_servico
2021,DF,5300108,Grupo 1,310,23,6,0,8,,,,,347,25,3127,593,2030,3733,5763,2.0,256,510,915,2694,5192,,,,
2021,ES,3205309,Grupo 1,66,1,2,1,9,,,,,78,1,139,72,241,537,778,11.0,7,80,87,463,180,,,,
2021,GO,5208707,Grupo 1,165,7,3,0,83,,,,,258,4,1260,409,335,1436,1771,32.0,,254,334,1301,11964,,,,
2021,MA,2111300,Grupo 1,212,24,4,3,14,,,,,254,3,929,204,1464,682,2146,5.0,75,237,312,709,452,,,,
2021,MT,5103403,Grupo 1,47,3,1,0,15,,,,,66,5,1472,342,477,867,1344,22.0,100,108,208,1060,406,,,,
2021,PA,1501402,Grupo 1,245,10,4,4,77,,,,,336,12,2727,611,710,183,893,22.0,35,59,94,1107,592,,,,
2021,PB,2507507,Grupo 1,228,2,2,1,15,,,,,232,3,819,105,1226,465,1691,6.0,53,253,306,245,169,,,,
2021,PE,2611606,Grupo 1,533,15,1,2,14,,,,,549,12,,381,2095,922,3017,2.0,73,235,308,2312,714,,,,
2021,PI,2211001,Grupo 1,308,13,1,3,18,,,,,322,11,742,351,3451,873,4324,5.0,98,392,490,432,164,,,,
2021,PR,4106902,Grupo 1,218,4,8,0,97,,,,,327,8,1910,724,986,2828,3814,29.0,47,165,212,2118,3060,,,,
2021,SC,4205407,Grupo 1,44,0,0,0,12,,,,,56,4,995,205,116,366,482,21.0,19,48,67,896,1772,,,,
2021,SE,2800308,Grupo 1,155,2,1,1,40,,,,,198,5,404,229,535,211,746,20.0,,,144,362,133,,,,
2021,BA,2927408,Grupo 2,1271,29,14,4,300,,,,,1614,14,1150,403,5001,1027,6028,18.0,51,261,312,1809,812,,,,
2021,MG,3106200,Grupo 2,269,4,,0,14,,,,,273,17,1639,658,1370,5918,7288,5.0,151,249,465,5864,3017,,,,
2021,MS,5002704,Grupo 2,133,5,2,0,6,,,,,140,2,1013,735,268,1775,2043,4.0,174,188,362,1083,558,,,,
2021,RJ,3304557,Grupo 2,790,38,18,5,458,,,,,1304,25,,1600,12146,6367,18513,35.0,,,129,1537,2495,,,,
2021,RN,2408102,Grupo 2,194,11,10,3,57,,,,,215,5,638,159,1901,428,2329,26.0,64,162,226,608,312,,,,
2021,RS,4314902,Grupo 2,244,14,1,0,39,,,,,298,9,2442,507,1906,2082,3988,13.0,253,246,499,2541,2142,,,,
2021,SP,3550308,Grupo 2,603,56,17,7,282,,,,,958,33,10480,2339,13656,34331,47987,29.0,,824,824,6237,1587,,,,
2021,TO,1721000,Grupo 2,55,2,0,0,13,,,,,70,7,399,157,121,460,581,18.0,5,33,38,170,53,,,,
2021,AC,1200401,Grupo 3,92,4,1,0,6,,,,,97,4,704,213,792,303,1095,6.0,,,64,200,44,,,,
2021,AM,1302603,Grupo 3,1060,44,12,4,69,,,,,1185,11,2194,590,2235,1710,3945,5.0,56,193,249,1454,191,,,,
2021,AP,1600303,Grupo 3,184,18,9,0,119,,,,,330,2,669,316,232,248,480,36.0,,,,520,156,,,,
2021,RO,1100205,Grupo 3,161,5,6,0,6,,,,,178,3,1231,264,,,2537,3.0,111,286,397,416,109,,,,
2021,RR,1400100,Grupo 3,128,9,6,0,9,,,,,152,2,735,,264,423,687,5.0,,,32,285,185,,,,
